ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576949.364722318,161856270,1000064,161856270,0,161858981,24780,62700,1000064,30498,483200,0,0,420431764,379628500,161872815,246979,617200,1000064,53750,782100,222214,22463,788
1785576950.385498328,174091997,1000064,174091997,0,174093936,24758,62600,1000064,30498,483200,0,0,420434826,379628508,174108073,246558,613800,1000064,53750,782100,221812,22463,788
1785576951.409276777,186323385,1000064,186323385,0,186325555,24746,62600,1000064,30498,483200,0,0,420437897,379628516,186339107,246294,611700,1000064,53750,782100,221560,22463,788
1785576952.433745302,198151618,1000064,198151618,0,198154371,24776,62600,1000064,30498,483200,0,0,420440969,379628526,198167880,246599,613100,1000064,53750,782100,221832,22463,788
1785576953.461371609,210499581,1000064,210499581,0,210502428,24757,62600,1000064,30498,483200,0,0,420444043,379628532,210517462,246168,609900,1000064,53750,782100,221422,22463,788
1785576954.485489768,222716521,1000064,222716521,0,222718872,24757,62600,1000064,30498,483200,0,0,420447121,379628548,222732759,246002,608600,1000064,53750,782100,221255,22463,788
1785576955.510224965,234785335,1000064,234785335,0,234787163,24765,62500,1000064,30498,483200,0,0,420450193,379628575,234801907,246000,608000,1000064,53750,782100,221243,22463,788
1785576956.535880523,247129776,1000064,247129776,0,247131554,24752,62500,1000064,30498,483200,0,0,420453267,379628576,247144373,245682,605600,1000064,53750,782100,220939,22463,788
1785576957.557180271,259314771,1000064,259314771,0,259316379,24751,62500,1000064,30498,483200,0,0,420456331,379628579,259327986,245527,604000,1000064,53750,782100,220783,22463,788
1785576958.585359920,271377176,1000064,271377176,0,271379324,24757,62500,1000064,30498,483200,0,0,420459413,379628602,271392906,245575,604500,1000064,53750,782100,220826,22463,788
1785576959.608675907,283667245,1000064,283667245,0,283669123,24746,62500,1000064,30498,483200,0,0,420462481,379628603,283683331,245373,603000,1000064,53750,782100,220634,22463,788
1785576960.631704382,295739911,1000064,295739911,0,295740969,24745,62500,1000064,30498,483200,0,0,420465549,379628606,295752686,245383,603100,1000064,53750,782100,220644,22463,788
1785576961.659313295,307932650,1000064,307932650,0,307934477,24744,62500,1000064,30498,483200,0,0,420468629,379628608,307948208,245300,603100,1000064,53750,782100,220562,22463,788
1785576962.680155828,320103818,1000064,320103818,0,320105630,24747,62500,1000064,30498,483200,0,0,420471690,379628617,320119276,245250,603000,1000064,53750,782100,220509,22463,788
1785576963.703014249,332207141,1000064,332207141,0,332210345,24751,62500,1000064,30498,483200,0,0,420474756,379628636,332223739,245213,602500,1000064,53750,782100,220468,22463,788
1785576964.728312793,344306180,1000064,344306180,0,344308552,24755,62500,1000064,30498,483200,0,0,420477828,379628646,344323686,245272,602900,1000064,53750,782100,220523,22463,788
1785576965.743068308,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420480879,379628825,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576966.761574415,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420483929,379631805,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576967.784794340,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420486996,379634856,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576968.808848006,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420490067,379637911,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576969.830168580,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420493132,379640910,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576970.853734875,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420496199,379643940,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576971.869277704,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420499248,379646972,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576972.888002371,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420502295,379649869,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576973.911997601,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420505367,379652921,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576974.935998953,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420508438,379655976,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576975.956299514,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420511497,379658952,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576976.979092149,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420514563,379662003,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576978.003585258,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420517633,379665050,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576979.025800938,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420520701,379668038,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576980.048837160,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420523768,379671090,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576981.071450757,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420526834,379674136,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576982.095754133,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420529903,379677128,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576983.118983685,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420532973,379680161,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576984.138970390,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420536036,379683183,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576985.162539315,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420539099,379686189,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576986.185821206,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420542168,379689242,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576987.208353723,355907832,1000064,355907832,0,355907832,24745,62400,1000064,30498,483200,0,0,420545236,379692266,355907832,245080,601900,1000064,53750,782100,220334,22463,788
1785576988.245989538,355907832,1698820,355907832,0,355907832,24745,62400,1702679,21671,195200,0,0,420548345,379694734,355907832,245080,601900,1707414,35616,598500,220334,13457,526
1785576989.285167157,355907832,6034911,355907832,0,355907832,24745,62400,6038632,11770,83200,0,0,420551444,379694750,355907832,245080,601900,6043193,16273,140200,220334,4261,244
1785576990.320763279,355907832,10263052,355907832,0,355907832,24745,62400,10266864,10217,61300,0,0,420554537,379694811,355907832,245080,601900,10271456,13206,103500,220334,2777,211
1785576991.358868810,355907832,14543562,355907832,0,355907832,24745,62400,14547320,9548,51500,0,0,420557634,379694836,355907832,245080,601900,14551842,11889,83300,220334,2150,191
1785576992.401441628,355907832,18881270,355907832,0,355907832,24745,62400,18884971,9178,45100,0,0,420560745,379694862,355907832,245080,601900,18889496,11160,70100,220334,1803,178
1785576993.439556724,355907832,23069266,355907832,0,355907832,24745,62400,23076435,8977,41100,0,0,420563842,379694942,355907832,245080,601900,23081220,10751,62100,220334,1595,178
1785576994.487466156,355907832,27412150,355907832,0,355907832,24745,62400,27416130,8813,38500,0,0,420566967,379694960,355907832,245080,601900,27421094,10430,56400,220334,1445,171
